year,native_wage,migrant_wage,native_wage_skill_0,native_employment_skill_0,native_wage_skill_1,native_employment_skill_1,native_wage_skill_2,native_employment_skill_2,native_employment,migrant_employment,unemployment_rate,vacancy_rate,firm_count,output_per_capita,avg_productivity,firm_entry_stock,price_index,profit_rate,seed,native_wage_index_change_pct,native_wage_change_pct,native_wage_change_short_index
6,0.7517226127092442,0.5307816939213648,0.620476771846319,0.9651006711409396,0.7574671950436304,0.9627659574468085,0.8855604197869112,0.9587482219061166,0.9622727272727273,0.9733333333333334,0.0364,0.9703136095867794,370,0.5845037408114704,1.009637137712786,370,0.9290429133933404,-2.579171478598739,3,,,
7,0.7593459783449437,0.5390189334978114,0.6298285539237305,0.9557046979865772,0.7656916485854417,0.9481382978723404,0.8879265403778301,0.9701280227596017,0.9577272727272728,0.96,0.042,0.9432624539588456,363,0.6255363108969142,1.0105202425951967,363,0.9193225719160193,-2.553387964418128,3,,,
8,0.7644158679282,0.5380253735300906,0.638568209328197,0.9557046979865772,0.7715596757903738,0.9547872340425532,0.8906853430824024,0.9516358463726885,0.9540909090909091,0.9333333333333333,0.0484,0.9302021650026598,356,0.653358063588947,1.0115871931269222,356,0.9097039516322732,-2.5707555678975993,3,,,
9,0.7723216482427646,0.5408814909461537,0.6482409006876302,0.9610738255033557,0.7809377457693099,0.9787234042553191,0.8950900522158882,0.9559032716927454,0.9654545454545455,0.9333333333333333,0.0384,0.9119139460315201,353,0.6947813819213963,1.0106070765498738,353,0.900185679979709,-2.56514388240934,3,,,
10,0.779282199875417,0.5557797105034132,0.6564812525605729,0.9073825503355705,0.7883964580928038,0.9587765957446809,0.8977970219065778,0.9174964438122333,0.9281818181818182,0.8564705882352941,0.08342857142857144,0.6873895787986267,346,0.7296909800881076,1.0116416497697993,346,0.8907673133704728,-2.3225952735389925,3,0.8429026212080362,0.9012503596771504,0.8429026212080362
11,0.7874866554586492,0.5644228746260291,0.6714064640847162,0.887248322147651,0.7933340886217787,0.9441489361702128,0.8994887063110374,0.9217638691322901,0.9177272727272727,0.9129411764705883,0.08304761904761905,0.8404610163302779,340,0.7740866754985612,1.0137897419746673,340,0.8814474294395195,-2.2135695828819757,3,1.8841302390520633,1.9635610694571273,1.8841302390520633
12,0.7939203917932155,0.5672238313738633,0.6826933674910416,0.8912751677852349,0.7984742074510347,0.925531914893617,0.9040220871807566,0.9132290184921764,0.91,0.8941176470588236,0.09257142857142857,0.8375260694813295,332,0.7912812040418259,1.013755768463127,332,0.8722252404497899,-2.2122941333527844,3,2.852739943178131,2.7965995255466063,2.852739943178131
13,0.7991676253829796,0.5681488259359162,0.6891931415262935,0.8926174496644296,0.8056664094106493,0.9162234042553191,0.9059411394881615,0.914651493598862,0.9077272727272727,0.8941176470588236,0.09447619047619048,0.8290753566116918,327,0.8198428097355953,1.01533113827814,327,0.8630993126137176,-2.1426891626409446,3,3.565422083751619,3.4760099242714024,3.565422083751619
14,0.8025949987309481,0.57427818858641,0.6967654510320962,0.9100671140939597,0.8078001790204504,0.9242021276595744,0.9085589692420174,0.914651493598862,0.9163636363636364,0.9152941176470588,0.0838095238095238,0.7999524387396737,323,0.8617156280516578,1.0173457291913293,323,0.8540687937246209,-2.057872464352304,3,4.14336516741004,3.9197853066870936,4.14336516741004
15,0.8067732452885157,0.5755955051297008,0.7026751757480597,0.87248322147651,0.8119170068228412,0.9188829787234043,0.9083729378100327,0.8975817923186344,0.8963636363636364,0.9011764705882352,0.10285714285714286,0.8351674017704429,316,0.8827201159400255,1.0182709519492676,316,0.8451330346522644,-1.9258072672462954,3,4.616044084940538,4.460783551016282,4.616044084940538
16,0.8086933122503734,0.5778742590319059,0.7075940905453342,0.8711409395973154,0.8134475853142755,0.910904255319149,0.9081458127891257,0.8918918918918919,0.8913636363636364,0.9223529411764706,0.10361904761904762,0.8226204150288366,315,0.9144157303559171,1.0200477892725537,315,0.8364336072493465,-1.8040571754995585,3,4.925853262397369,4.709393306579448,4.925853262397369
17,0.8131410919096775,0.5819636152245471,0.7138515714255713,0.836241610738255,0.8171722777464527,0.9162234042553191,0.9084312277484841,0.8819345661450925,0.8781818181818182,0.88,0.12152380952380952,0.8357360045613237,308,0.9246191186004399,1.0198268309797351,308,0.8276856128139153,-1.7237974006853152,3,5.417233182997047,5.285290624675343,5.417233182997047
18,0.8162312027185876,0.5814612627964,0.7197062863649383,0.8416107382550335,0.8197092902884238,0.913563829787234,0.9120000270896927,0.8634423897581792,0.8731818181818182,0.8941176470588236,0.12342857142857143,0.8142802296425816,305,0.9662053948973925,1.0221742891730583,305,0.8190269844575129,-1.5249709424186193,3,5.959481680430408,5.685397343934205,5.959481680430408
19,0.819843760875803,0.5843054517405816,0.7265882039312318,0.8268456375838926,0.8212126142464604,0.913563829787234,0.9120216088565769,0.871977240398293,0.8709090909090909,0.8776470588235294,0.128,0.8384538395116052,303,1.0062170474105678,1.024214805591587,303,0.8104583975958178,-1.3153204247322272,3,6.378329406778316,6.153150405813918,6.378329406778316
20,0.8228589601715576,0.5833228419276242,0.7326809506033779,0.8228187919463087,0.8261435708150918,0.9122340425531915,0.9106501471977657,0.8591749644381224,0.865,0.8541176470588235,0.13676190476190475,0.8247031206616544,297,1.0292422594341442,1.0256160961240068,297,0.8019817860676455,-1.168146293992743,3,6.851023925301303,6.543557602428816,6.851023925301303
21,0.823525918593363,0.5816616199230912,0.7369372360343588,0.8013422818791947,0.8260517343070978,0.9042553191489362,0.9085189267606857,0.8364153627311522,0.8477272727272728,0.8541176470588235,0.15123809523809523,0.8283459471319455,291,1.066433952886739,1.0276482888347873,291,0.7935939725517361,-0.8539566674938032,3,6.986600282837416,6.629915200111455,6.986600282837416
0,0.7306480540754091,0.5114742315814172,0.5873537464786822,0.9661246612466124,0.7206234095872766,0.9640883977900553,0.879375633324977,0.994579945799458,0.975,0.9833333333333333,0.024,0.7747718978102188,411,0.3280556562214449,1.0178653911024311,411,0.9895367071250001,-2.1342029552146218,4,,,
1,0.731877726062342,0.5108411860927254,0.5913902698163915,0.9796747967479674,0.7230148924231335,0.9792817679558011,0.8784214487743268,0.997289972899729,0.9854545454545455,0.98,0.0152,1.0207856154391353,406,0.3805297813030126,1.0204411830450046,406,0.9791828947477885,-2.2764516524317564,4,,,
2,0.7352101826112198,0.5157104905767584,0.5974570277693482,0.9742547425474255,0.7264400235264923,0.9848066298342542,0.880448309174967,0.9823848238482384,0.9804545454545455,0.9833333333333333,0.0192,1.0035999726285663,401,0.4314632894207877,1.0218632751897567,401,0.968937417341852,-2.3558924767874347,4,,,
3,0.7398888644952644,0.5127737620577104,0.6061815555659767,0.9823848238482384,0.7322803788097986,0.9613259668508287,0.8832735840055278,0.9661246612466124,0.97,0.9766666666666667,0.0292,1.0022708917243144,393,0.4672409281641611,1.0215615049943838,393,0.958799141366658,-2.4398130030101695,4,,,
4,0.7474768556777427,0.520605928394646,0.6159331733259094,0.9905149051490515,0.7434197022117467,0.9806629834254144,0.8844602730498689,0.9796747967479674,0.9836363636363636,0.9733333333333334,0.0176,0.9195708692478586,390,0.5203935784485814,1.0230932347662098,390,0.9487669451422407,-2.5251620422531214,4,,,
5,0.7552267790067164,0.5270139852600937,0.6246729144338178,0.9512195121951219,0.7526083331340283,0.9861878453038674,0.8875017200014466,0.9579945799457995,0.965,0.9766666666666667,0.0336,0.9741478849519494,382,0.5504062272349858,1.0234958900169975,382,0.9388397187250985,-2.5499720864302637,4,,,
6,0.7624412169383711,0.5275932568179369,0.6368941546549429,0.9607046070460704,0.7597085894656712,0.9723756906077348,0.8932852988084878,0.9417344173441734,0.9581818181818181,0.9466666666666667,0.0432,0.9429661518713116,372,0.5751534246114528,1.023729575019475,372,0.9290163637853952,-2.61603138697945,4,,,
7,0.7704613967930423,0.5315822885984598,0.6482486899323471,0.962059620596206,0.7659401296451753,0.9613259668508287,0.8969280969421407,0.9634146341463414,0.9622727272727273,0.96,0.038,0.9233366378351742,367,0.6104316378693898,1.0235370909003056,367,0.9192957934854411,-2.6559526090886556,4,,,
8,0.7780093836722579,0.5352832353051133,0.6589398319124139,0.9634146341463414,0.7750149731164782,0.9806629834254144,0.9000691344399835,0.9634146341463414,0.9690909090909091,0.96,0.032,0.9281049240169882,364,0.6551622295502525,1.0249791831418291,364,0.9096769323594477,-2.640889341445208,4,,,
